item_id,element_id,element_value,notes
item_poison_legendary_02,poison,1,
item_dark_common_01,dark,1,
item_dark_common_02,dark,1,
item_dark_common_03,dark,1,
item_dark_common_04,dark,1,
item_dark_common_05,dark,1,
item_dark_common_06,dark,1,
item_dark_common_07,dark,1,
item_dark_common_08,dark,1,
item_dark_common_09,dark,1,
item_dark_common_10,dark,1,
item_dark_rare_01,dark,2,
item_dark_rare_02,dark,1,
item_dark_rare_03,dark,1,
item_dark_rare_04,dark,2,
item_dark_rare_05,dark,1,
item_dark_rare_06,dark,1,
item_dark_rare_07,dark,2,
item_dark_rare_08,dark,1,
item_dark_epic_01,dark,2,
item_dark_epic_02,dark,2,
item_dark_epic_03,dark,1,
item_dark_epic_03,poison,1,
item_dark_epic_04,dark,2,
item_dark_epic_05,dark,1,
item_dark_legendary_01,dark,2,
item_dark_legendary_02,dark,1,
item_neutral_common_01,neutral,1,
item_neutral_common_02,neutral,1,
item_neutral_common_03,neutral,1,
item_neutral_common_04,neutral,1,
item_neutral_common_05,neutral,1,
item_neutral_common_06,neutral,1,
item_neutral_common_07,neutral,1,
item_neutral_common_08,neutral,1,
item_neutral_common_09,neutral,1,
item_neutral_common_10,neutral,1,
item_neutral_rare_01,neutral,2,
item_neutral_rare_02,neutral,1,
item_neutral_rare_03,neutral,1,
item_neutral_rare_04,neutral,2,
item_neutral_rare_05,neutral,1,
item_neutral_rare_06,neutral,1,
item_neutral_rare_07,neutral,2,
item_neutral_rare_08,neutral,1,
item_neutral_epic_01,neutral,2,
item_neutral_epic_02,neutral,2,
item_neutral_epic_03,neutral,1,
item_neutral_epic_03,light,1,
item_neutral_epic_04,neutral,2,
item_neutral_epic_05,neutral,1,
item_neutral_legendary_01,neutral,2,
item_neutral_legendary_02,neutral,1,
item_curse_common_01,curse,1,
item_curse_common_02,curse,1,
item_curse_common_03,curse,1,
item_curse_common_04,curse,1,
item_curse_common_05,curse,1,
item_curse_common_06,curse,1,
item_curse_common_07,curse,1,
item_curse_common_08,curse,1,
item_curse_common_09,curse,1,
item_curse_common_10,curse,1,
item_curse_rare_01,curse,2,
item_curse_rare_02,curse,1,
item_curse_rare_03,curse,1,
item_curse_rare_04,curse,2,
item_curse_rare_05,curse,1,
item_curse_rare_06,curse,1,
item_curse_rare_07,curse,2,
item_curse_rare_08,curse,1,
item_curse_epic_01,curse,2,
item_curse_epic_02,curse,2,
item_curse_epic_03,curse,1,
item_curse_epic_03,dark,1,
item_curse_epic_04,curse,2,
item_curse_epic_05,curse,1,
item_curse_legendary_01,curse,2,
item_curse_legendary_02,curse,1,
